Feature,Mean_Absolute_SHAP
Port_Congestion_Index,1.1072288088143696
Product_Price,0.1252044643784475
Competitor_Price,0.1017748424315784
Month,0.09463397062736456
Week,0.09307462985205323
Shipping_Cost,0.07892208154350633
Customer_Segment_Wholesale,0.040769875947362956
Distance_to_Customer,0.04039627300166709
Historical_Sales,0.03929064638598335
Shipping_Mode_Sea,0.03890330292261141
Year,0.03195048890883438
Website_Traffic,0.030360953363105358
Shipping_Mode_Ground,0.02980093239241322
Carbon_Emission,0.028276537730460734
Brand_Brand_D,0.028240561143842765
Region_Asia Pacific,0.02543020490994955
Weather_Index,0.024811566702241557
Fuel_Cost_Index,0.023660400321629138
Marketing_Spend,0.0210169538510142
Customer_Segment_Retail,0.02063689356216031
Supplier_Reliability,0.020309879558536862
Warehouse_ID_WH_4,0.019006875728589893
Brand_Brand_A,0.01832769869075499
Warehouse_Capacity,0.01823839147539636
Country_Chile,0.016305862079481006
Product_Category_Home,0.015844105801478735
Return_Rate,0.01512382315313264
Discount_Rate,0.014615481760098775
Country_Brazil,0.013451875411417723
Shipping_Mode_Air,0.013061004192675914
Brand_Brand_E,0.012720027606278505
Warehouse_ID_WH_3,0.012254662794976905
Product_Category_Sports,0.011739330485531246
Safety_Stock,0.010958318752527771
Warehouse_ID_WH_1,0.010699772926255603
Product_Category_Fashion,0.010407017089313157
Country_India,0.0095394524346017
Currency_Exchange_Rate,0.009082525341742429
Country_UK,0.008719163178961587
Conversion_Rate,0.008629424835468375
Country_Canada,0.00733931232436103
Region_Europe,0.006980727033216192
Inventory_Level,0.006662630713059881
Tariff_Rate,0.00634462022662115
Search_Trend_Index,0.006225652582732743
Country_Saudi Arabia,0.0060166738762552135
Brand_Brand_B,0.005879376880781266
Product_Category_Electronics,0.005843634424366689
Product_Category_Beauty,0.004790992743105821
Region_Middle East,0.004585060827335913
Country_Mexico,0.004402468893345655
Country_China,0.004211735820980312
Warehouse_ID_WH_2,0.003965667972816377
Region_North America,0.003584221790967653
Country_Singapore,0.0034661664721498653
Country_Italy,0.003335727496322494
Country_UAE,0.003245458698882368
Country_France,0.0022186933727087496
Brand_Brand_C,0.0017478706986531706
Country_Germany,0.0016356013966083588
Country_USA,0.0013869380569486711
Festival_Season,0.0007810824505515156
Region_Latin America,0.000779896192154252
Country_Japan,0.0005279693832294755
